ID,model_ID,code,name,category,valueType,standardRef,description,rubric,displayOrder,active
00000000-0000-4000-9200-000000000001,00000000-0000-4000-9100-000000000001,SAFETY,Safety consequence,Consequence,Level1to5,ISO 31000; AS 5100.1 importance,Safety consequence — manual engineering judgement (approved design dimension).,"{""1"": ""Negligible safety consequence"", ""2"": ""Minor injury possible"", ""3"": ""Serious injury credible"", ""4"": ""Single fatality credible"", ""5"": ""Multiple fatalities credible""}",1,true
00000000-0000-4000-9200-000000000002,00000000-0000-4000-9100-000000000001,NETWORK,Network service consequence,Consequence,Level1to5,ISO 55000; PIARC consequence framework,Network service consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No network disruption"", ""2"": ""Local detour, minutes"", ""3"": ""Sub-network impact, hours"", ""4"": ""Key corridor severed, days"", ""5"": ""Strategic corridor lost, weeks+""}",2,true
00000000-0000-4000-9200-000000000003,00000000-0000-4000-9100-000000000001,FINANCIAL,Financial consequence,Consequence,Level1to5,ISO 55010 (monetised value),Financial consequence — manual engineering judgement (approved design dimension).,"{""1"": ""Trivial cost"", ""2"": ""Minor repair budget"", ""3"": ""Material capital cost"", ""4"": ""Major capital + indirect cost"", ""5"": ""Severe whole-of-life / liability cost""}",3,true
00000000-0000-4000-9200-000000000004,00000000-0000-4000-9100-000000000001,ENVIRONMENTAL,Environmental consequence,Consequence,Level1to5,ISO 31000; EPA NSW context,Environmental consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No environmental effect"", ""2"": ""Contained, reversible"", ""3"": ""Local, remediable"", ""4"": ""Significant, prolonged"", ""5"": ""Severe / protected-area harm""}",4,true
00000000-0000-4000-9200-000000000005,00000000-0000-4000-9100-000000000001,REPUTATIONAL,Reputational consequence,Consequence,Level1to5,ISO 31000,Reputational consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No public interest"", ""2"": ""Local complaint"", ""3"": ""Regional media"", ""4"": ""State media / ministerial"", ""5"": ""National / inquiry-level""}",5,true
00000000-0000-4000-9200-000000000006,00000000-0000-4000-9100-000000000001,LIKELIHOOD,Likelihood of failure,Likelihood,Level1to5,ISO 31000; ISO 13822 (existing structures),Likelihood of failure — derived default from condition + structural adequacy (srv/lib/prioritisation.js deriveLikelihood); manual override requires a logged reason.,"{""1"": ""Rare \u2014 sound condition, ample adequacy"", ""2"": ""Unlikely \u2014 minor deterioration"", ""3"": ""Possible \u2014 moderate deterioration or unknown"", ""4"": ""Likely \u2014 significant deterioration"", ""5"": ""Almost certain \u2014 severe condition/adequacy""}",6,true
00000000-0000-4000-9210-000000000001,00000000-0000-4000-9100-000000000002,BHI,Condition (BHI proxy),Likelihood,Numeric,NSW BHI; NBI 0-9; AASHTO CS,Condition (BHI proxy) — standards-based pack criterion.,,101,true
00000000-0000-4000-9210-000000000002,00000000-0000-4000-9100-000000000002,WORST_ELEMENT,Worst-element condition,Likelihood,Numeric,AASHTO element CS1-4,Worst-element condition — standards-based pack criterion.,,102,true
00000000-0000-4000-9210-000000000003,00000000-0000-4000-9100-000000000002,COND_TREND,Deterioration trend,Likelihood,Numeric,ISO 13822; CS 470,Deterioration trend — standards-based pack criterion.,,103,true
00000000-0000-4000-9210-000000000004,00000000-0000-4000-9100-000000000002,RUL,Remaining useful life,Likelihood,Numeric,ISO 55000; AS 5100,Remaining useful life — standards-based pack criterion.,,104,true
