ID,descr,bridgeId,bridgeName*,assetClass,route,routeNumber,state*,region,lga,latitude*,longitude*,location,assetOwner*,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson
,,DEMO-BRG-001,Riverside Crossing,Road Bridge,Pacific Link,,NSW,Sydney Metropolitan,Parramatta,-33.8136,151.0034,Parramatta River,Demo Roads Authority,,Beam Bridge,1987,T44,,,,,4,120,14.5,4,Good,8,,Unrestricted,,,,,,,,,,,,1,General Access,,28000,,,,true,,true,,,,,,,
,,DEMO-BRG-002,Hartley Creek Bridge,Road Bridge,Mountain Highway,,NSW,Regional NSW,Lithgow,-33.5419,150.1551,Hartley Creek,Demo Roads Authority,,Arch Bridge,1965,A160,,,,,2,68,9.2,2,Fair,6,,Restricted,,,,,,,,,,,,0.85,Level 1,,4200,,,,true,,,,,,,,,
,,DEMO-BRG-003,Yarra Boulevard Overpass,Road Bridge,Eastern Freeway,,VIC,Greater Melbourne,Boroondara,-37.7985,145.0356,Yarra River,Demo State Transport,,Box Girder,1995,SM1600,,,,,3,145,22,6,Good,9,,Unrestricted,,,,,,,,,,,,1,Level 2,,65000,,,,true,,true,true,,,,,,
,,DEMO-BRG-004,Goldfields Rail Viaduct,Rail Bridge,Western Rail Line,,VIC,Regional Victoria,Ballarat,-37.5622,143.8503,Leigh River,Demo Rail Network,,Arch Bridge,1928,CooperE,,,,,7,210,,,Poor,4,,Restricted,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,
,,DEMO-BRG-005,Coral Bay Footbridge,Pedestrian Bridge,,,QLD,South East Queensland,Gold Coast,-28.0167,153.4,Coral Canal,Demo City Council,,Cable-stayed,2012,W80,,,,,1,45,4,,Good,9,,Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEMO-BRG-006,Brisbane Reach Bridge,Road Bridge,River Expressway,,QLD,South East Queensland,Brisbane,-27.481,153.009,Brisbane River,Demo State Transport,,Cantilever,1978,T44,,,,,5,320,18,4,Fair,6,,Under Review,,,,,,,,,,,,0.9,Level 2,,41000,,,,true,,,,,,,,,
,,DEMO-BRG-007,Torrens Weir Bridge,Shared Path Bridge,,,SA,Regional NSW,Adelaide,-34.9136,138.599,River Torrens,Demo City Council,,Beam Bridge,2003,W80,,,,,2,60,5,,Good,8,,Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEMO-BRG-008,Swan Estuary Bridge,Road Bridge,Coastal Route,,WA,Regional Victoria,Perth,-31.974,115.84,Swan River,Demo Roads Authority,,Box Girder,2001,SM1600,,,,,4,180,20,4,Good,8,,Unrestricted,,,,,,,,,,,,1,Level 3,,33000,,,,true,,true,true,,,,,,
,,DEMO-BRG-009,Derwent Punt Bridge,Road Bridge,Southern Outlet,,TAS,Hobart Region,Hobart,-42.8821,147.3272,Derwent River,Demo State Transport,,Beam Bridge,1972,T44,,,,,6,240,16,4,Very Poor,3,,Restricted,,,,,,,,,,,,0.6,,,18000,,,,,,,,,,,,,
,,DEMO-BRG-010,Top End Floodway Bridge,Road Bridge,Outback Highway,,NT,Regional NSW,Darwin,-12.4634,130.8456,Elizabeth River,Demo Roads Authority,,Beam Bridge,1989,A160,,,,,3,95,8.5,2,Fair,6,,Unrestricted,,,,20,true,,,,,,,,,,,,,,true,,,,,,,,,
,,DEMO-BRG-011,Capital Lake Bridge,Road Bridge,Lakeside Drive,,ACT,Sydney Metropolitan,Canberra,-35.293,149.124,Lake Burley Griffin,Demo City Council,,Box Girder,1998,SM1600,,,,,3,130,19,4,Good,9,,Unrestricted,,,,,,,,,,,,,Level 2,,52000,,,,,,,,,,,,,
,,DEMO-BRG-012,Old Quarry Rail Bridge,Rail Bridge,Freight Spur,,NSW,Regional NSW,Newcastle,-32.9283,151.7817,Hunter River,Demo Rail Network,,Cantilever,1955,UIC60,,,,,4,160,,,Critical,2,,Closed,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
,,DEMO-BRG-013,Marina Approach Bridge,Road Bridge,Harbour Link,,NSW,Sydney Metropolitan,Sydney,-33.8568,151.2153,Sydney Harbour foreshore,Demo State Transport,,Arch Bridge,2008,SM1600,,,,,2,110,21,4,Good,9,,Unrestricted,,,,,,,,,,,,,Level 3,,47000,,,,true,,,true,,,,,,
,,DEMO-BRG-014,Wheatbelt Grain Bridge,Road Bridge,Grain Route,,WA,Regional Victoria,Northam,-31.653,116.672,Avon River,Demo Roads Authority,,Beam Bridge,1969,A160,,,,,3,78,7.8,2,Poor,4,,Restricted,,,,,,,,,,,,0.75,,,,,,,,true,,,,,,,,
,,DEMO-BRG-015,Sunshine Coast Boardwalk Bridge,Pedestrian Bridge,,,QLD,South East Queensland,Sunshine Coast,-26.65,153.067,Maroochy River,Demo City Council,,Cable-stayed,2016,W80,,,,,1,38,3.5,,Good,10,,Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
